time(s)	cellId	rnti	lcid	packetSize
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.291386	3	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	1	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.292386	3	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	1	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.293386	3	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	1	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.294386	3	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	1	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.295386	3	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	1	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.296386	3	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	1	2	3	58
0.297386	3	2	3	58
0.297386	3	2	3	58
0.297386	3	2	3	58
0.297386	3	2	3	58
0.297386	3	2	3	58
