time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.82803	1	10	3	68	0.00795714
3.90739	1	1	3	1032	0.00231428
3.90746	1	2	3	1032	0.00238571
3.90753	1	3	3	129	0.00245714
3.9076	1	4	3	129	0.00252857
3.90767	1	5	3	691	0.0026
3.90774	1	6	3	76	0.00267142
3.90781	1	7	3	691	0.00274285
3.90789	1	8	3	35	0.00281428
3.90796	1	9	3	1032	0.00288571
3.91231	1	3	3	270	0.00224286
3.91246	1	4	3	270	0.00238571
3.91253	1	5	3	343	0.00245714
3.91267	1	6	3	164	0.0026
3.91274	1	7	3	343	0.00267142
3.91289	1	8	3	82	0.00281428
3.91296	1	10	3	35	0.00788571
3.91339	1	3	3	410	0.00231428
3.9136	1	4	3	410	0.00252857
3.91381	1	6	3	252	0.00274285
3.91403	1	8	3	129	0.00295714
3.91439	1	3	3	229	0.00231428
3.9146	1	4	3	229	0.00252857
3.91481	1	6	3	252	0.00274285
3.91503	1	8	3	129	0.00295714
3.91553	1	6	3	296	0.00245714
3.91603	1	8	3	317	0.00295714
3.91703	1	8	3	350	0.00295714
3.92296	1	10	3	129	0.00788571
3.92403	1	10	3	129	0.00795714
3.92503	1	10	3	176	0.00795714
3.92603	1	10	3	270	0.00795714
3.92703	1	10	3	270	0.00795714
3.93303	1	10	3	35	0.00795714
4.00746	1	3	3	129	0.00238571
4.00753	1	4	3	129	0.00245714
4.0076	1	5	3	691	0.00252857
4.00767	1	6	3	76	0.0026
4.00774	1	7	3	691	0.00267142
4.00781	1	8	3	35	0.00274285
4.00789	1	9	3	1032	0.00281428
4.00896	1	1	3	1032	0.00288571
4.00903	1	2	3	1032	0.00295714
4.01231	1	3	3	270	0.00224286
4.01246	1	4	3	270	0.00238571
4.01253	1	5	3	343	0.00245714
4.01267	1	6	3	164	0.0026
4.01274	1	7	3	343	0.00267142
4.01296	1	8	3	129	0.00288571
4.01303	1	10	3	35	0.00795714
4.01339	1	3	3	410	0.00231428
4.0136	1	4	3	410	0.00252857
4.01381	1	6	3	252	0.00274285
4.01403	1	8	3	129	0.00295714
4.01439	1	3	3	229	0.00231428
4.0146	1	4	3	229	0.00252857
4.01481	1	6	3	252	0.00274285
4.01503	1	8	3	129	0.00295714
4.01553	1	6	3	296	0.00245714
4.01603	1	8	3	317	0.00295714
4.01703	1	8	3	303	0.00295714
4.02403	1	10	3	129	0.00795714
4.02496	1	10	3	176	0.00788571
4.02596	1	10	3	270	0.00788571
4.02703	1	10	3	270	0.00795714
4.02796	1	10	3	162	0.00788571
4.10739	1	1	3	1032	0.00231428
4.10746	1	2	3	1032	0.00238571
4.10753	1	3	3	129	0.00245714
4.1076	1	4	3	129	0.00252857
4.10767	1	6	3	76	0.0026
4.10774	1	7	3	691	0.00267142
4.10781	1	8	3	35	0.00274285
4.10789	1	9	3	1032	0.00281428
4.10903	1	5	3	691	0.00295714
4.11231	1	3	3	270	0.00224286
4.11246	1	4	3	270	0.00238571
4.11267	1	6	3	252	0.0026
4.11274	1	7	3	343	0.00267142
4.11296	1	8	3	129	0.00288571
4.11303	1	10	3	35	0.00795714
4.11339	1	3	3	410	0.00231428
4.1136	1	4	3	410	0.00252857
4.11381	1	6	3	252	0.00274285
4.11403	1	8	3	129	0.00295714
4.11431	1	3	3	229	0.00224286
4.11453	1	4	3	229	0.00245714
4.1146	1	5	3	343	0.00252857
4.11481	1	6	3	252	0.00274285
4.11503	1	8	3	129	0.00295714
4.11553	1	6	3	208	0.00245714
4.11603	1	8	3	317	0.00295714
4.11703	1	8	3	303	0.00295714
4.12403	1	10	3	129	0.00795714
4.12503	1	10	3	129	0.00795714
4.12603	1	10	3	270	0.00795714
4.12703	1	10	3	223	0.00795714
4.12803	1	10	3	256	0.00795714
4.20739	1	1	3	1032	0.00231428
4.20746	1	2	3	1032	0.00238571
4.20753	1	3	3	129	0.00245714
4.2076	1	4	3	129	0.00252857
4.20767	1	5	3	691	0.0026
