Time	CellId	RNTI	BWPId	SINR(dB)
0.895071	1	1	0	18.9394
0.895071	3	1	0	26.5279
0.900071	1	1	0	21.1498
0.900071	3	1	0	26.5619
0.904071	1	1	0	38.2277
0.905071	1	1	0	19.0013
0.905071	3	1	0	25.1563
0.910071	1	1	0	20.0671
0.910071	3	1	0	24.3318
0.915071	1	1	0	20.0216
0.915071	3	1	0	25.1758
0.920071	1	1	0	20.9658
0.920071	3	1	0	27.3818
0.925071	1	1	0	19.726
0.925071	3	1	0	24.1545
0.930071	1	1	0	20.2785
0.930071	3	1	0	24.6622
0.935071	1	1	0	20.3265
0.935071	3	1	0	26.8852
0.940071	1	1	0	18.1918
0.940071	3	1	0	29.9708
0.945071	1	1	0	15.5205
0.945071	3	1	0	27.1003
0.950071	1	1	0	16.5807
0.950071	3	1	0	23.0038
0.955071	1	1	0	19.7589
0.955071	3	1	0	29.8481
0.960071	1	1	0	20.7809
0.960071	3	1	0	28.4197
0.965071	1	1	0	21.5072
0.965071	3	1	0	26.5776
0.970071	1	1	0	17.8829
0.970071	3	1	0	22.0328
0.975071	1	1	0	19.3723
0.975071	3	1	0	25.855
0.980071	1	1	0	18.4061
0.980071	3	1	0	28.5501
0.984071	1	1	0	37.8007
0.985071	1	1	0	19.7929
0.985071	3	1	0	26.5707
0.990071	1	1	0	18.1687
0.990071	3	1	0	24.6665
0.995071	1	1	0	18.6148
0.995071	3	1	0	23.114
