time(s)	cellId	rnti	lcid	packetSize
0.639	3	1	3	1032
0.64	1	1	3	1032
0.64	3	1	3	1032
0.641	1	1	3	1032
0.641	3	1	3	1032
0.642	1	1	3	1032
0.642	3	1	3	1032
0.643	1	1	3	1032
0.643	3	1	3	1032
0.644	1	1	3	1032
0.644	3	1	3	1032
0.645	1	1	3	1032
0.645	3	1	3	1032
0.646	1	1	3	1032
0.646	3	1	3	1032
0.647	1	1	3	1032
0.647	3	1	3	1032
0.648	1	1	3	1032
0.648	3	1	3	1032
0.649	1	1	3	1032
0.649	3	1	3	1032
0.65	1	1	3	1032
0.65	3	1	3	1032
0.651	1	1	3	1032
0.651	3	1	3	1032
0.652	1	1	3	1032
0.652	3	1	3	1032
0.653	1	1	3	1032
0.653	3	1	3	1032
0.654	1	1	3	1032
0.654	3	1	3	1032
0.655	1	1	3	1032
0.655	3	1	3	1032
0.656	1	1	3	1032
0.656	3	1	3	1032
0.657	1	1	3	1032
0.657	3	1	3	1032
0.658	1	1	3	1032
0.658	3	1	3	1032
0.659	1	1	3	1032
0.659	3	1	3	1032
0.66	1	1	3	1032
0.66	3	1	3	1032
0.661	1	1	3	1032
0.661	3	1	3	1032
0.662	1	1	3	1032
0.662	3	1	3	1032
0.663	1	1	3	1032
0.663	3	1	3	1032
0.664	1	1	3	1032
0.664	3	1	3	1032
0.665	1	1	3	1032
0.665	3	1	3	1032
0.666	1	1	3	1032
0.666	3	1	3	1032
0.667	1	1	3	1032
0.667	3	1	3	1032
0.668	1	1	3	1032
0.668	3	1	3	1032
0.669	1	1	3	1032
0.669	3	1	3	1032
0.67	1	1	3	1032
0.67	3	1	3	1032
0.671	1	1	3	1032
0.671	3	1	3	1032
0.672	1	1	3	1032
0.672	3	1	3	1032
0.673	1	1	3	1032
0.673	3	1	3	1032
0.674	1	1	3	1032
0.674	3	1	3	1032
0.675	1	1	3	1032
0.675	3	1	3	1032
0.676	1	1	3	1032
0.676	3	1	3	1032
0.677	1	1	3	1032
0.677	3	1	3	1032
0.678	1	1	3	1032
0.678	3	1	3	1032
0.679	1	1	3	1032
0.679	3	1	3	1032
0.68	1	1	3	1032
0.68	3	1	3	1032
0.681	1	1	3	1032
0.681	3	1	3	1032
0.682	1	1	3	1032
0.682	3	1	3	1032
0.683	1	1	3	1032
0.683	3	1	3	1032
0.684	1	1	3	1032
0.684	3	1	3	1032
0.685	1	1	3	1032
0.685	3	1	3	1032
0.686	1	1	3	1032
0.686	3	1	3	1032
0.687	1	1	3	1032
0.687	3	1	3	1032
0.688	1	1	3	1032
0.688	3	1	3	1032
0.689	1	1	3	1032
0.689	3	1	3	1032
0.69	1	1	3	1032
0.69	3	1	3	1032
0.691	1	1	3	1032
0.691	3	1	3	1032
0.692	1	1	3	1032
0.692	3	1	3	1032
0.693	1	1	3	1032
0.693	3	1	3	1032
0.694	1	1	3	1032
0.694	3	1	3	1032
0.695	1	1	3	1032
0.695	3	1	3	1032
0.696	1	1	3	1032
0.696	3	1	3	1032
0.697	1	1	3	1032
0.697	3	1	3	1032
0.698	1	1	3	1032
0.698	3	1	3	1032
0.699	1	1	3	1032
0.699	3	1	3	1032
0.7	1	1	3	1032
0.7	3	1	3	1032
0.701	1	1	3	1032
0.701	3	1	3	1032
0.702	1	1	3	1032
0.702	3	1	3	1032
0.703	1	1	3	1032
0.703	3	1	3	1032
0.704	1	1	3	1032
0.704	3	1	3	1032
0.705	1	1	3	1032
0.705	3	1	3	1032
0.706	1	1	3	1032
0.706	3	1	3	1032
0.707	1	1	3	1032
0.707	3	1	3	1032
0.708	1	1	3	1032
0.708	3	1	3	1032
0.709	1	1	3	1032
0.709	3	1	3	1032
0.71	1	1	3	1032
0.71	3	1	3	1032
0.711	1	1	3	1032
0.711	3	1	3	1032
0.712	1	1	3	1032
0.712	3	1	3	1032
0.713	1	1	3	1032
0.713	3	1	3	1032
0.714	1	1	3	1032
0.714	3	1	3	1032
0.715	1	1	3	1032
0.715	3	1	3	1032
0.716	1	1	3	1032
0.716	3	1	3	1032
0.717	1	1	3	1032
0.717	3	1	3	1032
0.718	1	1	3	1032
0.718	3	1	3	1032
0.719	1	1	3	1032
0.719	3	1	3	1032
0.72	1	1	3	1032
0.72	3	1	3	1032
0.721	1	1	3	1032
0.721	3	1	3	1032
0.722	1	1	3	1032
0.722	3	1	3	1032
0.723	1	1	3	1032
0.723	3	1	3	1032
0.724	1	1	3	1032
0.724	3	1	3	1032
0.725	1	1	3	1032
0.725	3	1	3	1032
0.726	1	1	3	1032
0.726	3	1	3	1032
0.727	1	1	3	1032
0.727	3	1	3	1032
0.728	1	1	3	1032
0.728	3	1	3	1032
0.729	1	1	3	1032
0.729	3	1	3	1032
0.73	1	1	3	1032
0.73	3	1	3	1032
0.731	1	1	3	1032
0.731	3	1	3	1032
0.732	1	1	3	1032
0.732	3	1	3	1032
0.733	1	1	3	1032
0.733	3	1	3	1032
0.734	1	1	3	1032
0.734	3	1	3	1032
0.735	1	1	3	1032
0.735	3	1	3	1032
0.736	1	1	3	1032
0.736	3	1	3	1032
0.737	1	1	3	1032
0.737	3	1	3	1032
0.738	1	1	3	1032
0.738	3	1	3	1032
0.739	1	1	3	1032
0.739	3	1	3	1032
0.74	1	1	3	1032
0.74	3	1	3	1032
0.741	1	1	3	1032
0.741	3	1	3	1032
0.742	1	1	3	1032
0.742	3	1	3	1032
0.743	1	1	3	1032
0.743	3	1	3	1032
0.744	1	1	3	1032
0.744	3	1	3	1032
0.745	1	1	3	1032
0.745	3	1	3	1032
0.746	1	1	3	1032
0.746	3	1	3	1032
0.747	1	1	3	1032
0.747	3	1	3	1032
0.748	1	1	3	1032
0.748	3	1	3	1032
0.749	1	1	3	1032
0.749	3	1	3	1032
0.75	1	1	3	1032
0.75	3	1	3	1032
0.751	1	1	3	1032
0.751	3	1	3	1032
0.752	1	1	3	1032
0.752	3	1	3	1032
0.753	1	1	3	1032
0.753	3	1	3	1032
0.754	1	1	3	1032
0.754	3	1	3	1032
0.755	1	1	3	1032
0.755	3	1	3	1032
0.756	1	1	3	1032
0.756	3	1	3	1032
0.757	1	1	3	1032
0.757	3	1	3	1032
0.758	1	1	3	1032
0.758	3	1	3	1032
0.759	1	1	3	1032
