time(s)	cellId	rnti	lcid	packetSize
0.630002	1	1	3	1030
0.630003	3	1	3	1030
0.631002	1	1	3	1030
0.631003	3	1	3	1030
0.632002	1	1	3	1030
0.632003	3	1	3	1030
0.633002	1	1	3	1030
0.633003	3	1	3	1030
0.634002	1	1	3	1030
0.634003	3	1	3	1030
0.635002	1	1	3	1030
0.635003	3	1	3	1030
0.636002	1	1	3	1030
0.636003	3	1	3	1030
0.637002	1	1	3	1030
0.637003	3	1	3	1030
0.638002	1	1	3	1030
0.638003	3	1	3	1030
0.639002	1	1	3	1030
0.639003	3	1	3	1030
0.640002	1	1	3	1030
0.640003	3	1	3	1030
0.641002	1	1	3	1030
0.641003	3	1	3	1030
0.642002	1	1	3	1030
0.642003	3	1	3	1030
0.643002	1	1	3	1030
0.643003	3	1	3	1030
0.644002	1	1	3	1030
0.644003	3	1	3	1030
0.645002	1	1	3	1030
0.645003	3	1	3	1030
0.646002	1	1	3	1030
0.646003	3	1	3	1030
0.647002	1	1	3	1030
0.647003	3	1	3	1030
0.648002	1	1	3	1030
0.648003	3	1	3	1030
0.649002	1	1	3	1030
0.649003	3	1	3	1030
0.650002	1	1	3	1030
0.650003	3	1	3	1030
0.651002	1	1	3	1030
0.651003	3	1	3	1030
0.652002	1	1	3	1030
0.652003	3	1	3	1030
0.653002	1	1	3	1030
0.653003	3	1	3	1030
0.654002	1	1	3	1030
0.654003	3	1	3	1030
0.655002	1	1	3	1030
0.655003	3	1	3	1030
0.656002	1	1	3	1030
0.656003	3	1	3	1030
0.657002	1	1	3	1030
0.657003	3	1	3	1030
0.658002	1	1	3	1030
0.658003	3	1	3	1030
0.659002	1	1	3	1030
0.659003	3	1	3	1030
0.660002	1	1	3	1030
0.660003	3	1	3	1030
0.661002	1	1	3	1030
0.661003	3	1	3	1030
0.662002	1	1	3	1030
0.662003	3	1	3	1030
0.663002	1	1	3	1030
0.663003	3	1	3	1030
0.664002	1	1	3	1030
0.664003	3	1	3	1030
0.665002	1	1	3	1030
0.665003	3	1	3	1030
0.666002	1	1	3	1030
0.666003	3	1	3	1030
0.667002	1	1	3	1030
0.667003	3	1	3	1030
0.668002	1	1	3	1030
0.668003	3	1	3	1030
0.669002	1	1	3	1030
0.669003	3	1	3	1030
0.670002	1	1	3	1030
0.670003	3	1	3	1030
0.671002	1	1	3	1030
0.671003	3	1	3	1030
0.672002	1	1	3	1030
0.672003	3	1	3	1030
0.673002	1	1	3	1030
0.673003	3	1	3	1030
0.674002	1	1	3	1030
0.674003	3	1	3	1030
0.675002	1	1	3	1030
0.675003	3	1	3	1030
0.676002	1	1	3	1030
0.676003	3	1	3	1030
0.677002	1	1	3	1030
0.677003	3	1	3	1030
0.678002	1	1	3	1030
0.678003	3	1	3	1030
0.679002	1	1	3	1030
0.679003	3	1	3	1030
0.680002	1	1	3	1030
0.680003	3	1	3	1030
0.681002	1	1	3	1030
0.681003	3	1	3	1030
0.682002	1	1	3	1030
0.682003	3	1	3	1030
0.683002	1	1	3	1030
0.683003	3	1	3	1030
0.684002	1	1	3	1030
0.684003	3	1	3	1030
0.685002	1	1	3	1030
0.685003	3	1	3	1030
0.686002	1	1	3	1030
0.686003	3	1	3	1030
0.687002	1	1	3	1030
0.687003	3	1	3	1030
0.688002	1	1	3	1030
0.688003	3	1	3	1030
0.689002	1	1	3	1030
0.689003	3	1	3	1030
0.690002	1	1	3	1030
0.690003	3	1	3	1030
0.691002	1	1	3	1030
0.691003	3	1	3	1030
0.692002	1	1	3	1030
0.692003	3	1	3	1030
0.693002	1	1	3	1030
0.693003	3	1	3	1030
0.694002	1	1	3	1030
0.694003	3	1	3	1030
0.695002	1	1	3	1030
0.695003	3	1	3	1030
0.696002	1	1	3	1030
0.696003	3	1	3	1030
0.697002	1	1	3	1030
0.697003	3	1	3	1030
0.698002	1	1	3	1030
0.698003	3	1	3	1030
0.699002	1	1	3	1030
0.699003	3	1	3	1030
0.700002	1	1	3	1030
0.700003	3	1	3	1030
0.701002	1	1	3	1030
0.701003	3	1	3	1030
0.702002	1	1	3	1030
0.702003	3	1	3	1030
0.703002	1	1	3	1030
0.703003	3	1	3	1030
0.704002	1	1	3	1030
0.704003	3	1	3	1030
0.705002	1	1	3	1030
0.705003	3	1	3	1030
0.706002	1	1	3	1030
0.706003	3	1	3	1030
0.707002	1	1	3	1030
0.707003	3	1	3	1030
0.708002	1	1	3	1030
0.708003	3	1	3	1030
0.709002	1	1	3	1030
0.709003	3	1	3	1030
0.710002	1	1	3	1030
0.710003	3	1	3	1030
0.711002	1	1	3	1030
0.711003	3	1	3	1030
0.712002	1	1	3	1030
0.712003	3	1	3	1030
0.713002	1	1	3	1030
0.713003	3	1	3	1030
0.714002	1	1	3	1030
0.714003	3	1	3	1030
0.715002	1	1	3	1030
0.715003	3	1	3	1030
0.716002	1	1	3	1030
0.716003	3	1	3	1030
0.717002	1	1	3	1030
0.717003	3	1	3	1030
0.718002	1	1	3	1030
0.718003	3	1	3	1030
0.719002	1	1	3	1030
0.719003	3	1	3	1030
0.720002	1	1	3	1030
0.720003	3	1	3	1030
0.721002	1	1	3	1030
0.721003	3	1	3	1030
0.722002	1	1	3	1030
0.722003	3	1	3	1030
0.723002	1	1	3	1030
0.723003	3	1	3	1030
0.724002	1	1	3	1030
0.724003	3	1	3	1030
0.725002	1	1	3	1030
0.725003	3	1	3	1030
0.726002	1	1	3	1030
0.726003	3	1	3	1030
0.727002	1	1	3	1030
0.727003	3	1	3	1030
0.728002	1	1	3	1030
0.728003	3	1	3	1030
0.729002	1	1	3	1030
0.729003	3	1	3	1030
0.730002	1	1	3	1030
0.730003	3	1	3	1030
0.731002	1	1	3	1030
0.731003	3	1	3	1030
0.732002	1	1	3	1030
0.732003	3	1	3	1030
0.733002	1	1	3	1030
0.733003	3	1	3	1030
0.734002	1	1	3	1030
0.734003	3	1	3	1030
0.735002	1	1	3	1030
0.735003	3	1	3	1030
0.736002	1	1	3	1030
0.736003	3	1	3	1030
0.737002	1	1	3	1030
0.737003	3	1	3	1030
0.738002	1	1	3	1030
0.738003	3	1	3	1030
0.739002	1	1	3	1030
0.739003	3	1	3	1030
0.740002	1	1	3	1030
0.740003	3	1	3	1030
0.741002	1	1	3	1030
0.741003	3	1	3	1030
0.742002	1	1	3	1030
0.742003	3	1	3	1030
0.743002	1	1	3	1030
0.743003	3	1	3	1030
0.744002	1	1	3	1030
0.744003	3	1	3	1030
0.745002	1	1	3	1030
0.745003	3	1	3	1030
0.746002	1	1	3	1030
0.746003	3	1	3	1030
0.747002	1	1	3	1030
0.747003	3	1	3	1030
0.748002	1	1	3	1030
0.748003	3	1	3	1030
0.749002	1	1	3	1030
0.749003	3	1	3	1030
0.750002	1	1	3	1030
0.750003	3	1	3	1030
0.751002	1	1	3	1030
0.751003	3	1	3	1030
0.752002	1	1	3	1030
0.752003	3	1	3	1030
0.753002	1	1	3	1030
