Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.815929	HARQ FD Txed	81	5	0	1	2	0	15	2
0.815929	HARQ FD Txed	81	5	0	3	1	0	15	2
0.815929	HARQ FD Txed	81	5	0	1	1	0	15	2
0.816071	DL DCI Rxed	81	6	0	1	1	0	12	2
0.816071	DL DCI Rxed	81	6	0	1	2	0	12	2
0.816071	DL DCI Rxed	81	6	0	3	1	0	12	2
0.816071	DL DCI Rxed	81	6	0	3	2	0	12	2
0.816929	HARQ FD Txed	81	6	0	3	2	0	14	2
0.816929	HARQ FD Txed	81	6	0	1	2	0	14	2
0.816929	HARQ FD Txed	81	6	0	3	1	0	14	2
0.816929	HARQ FD Txed	81	6	0	1	1	0	14	2
0.817071	DL DCI Rxed	81	7	0	1	1	0	11	2
0.817071	DL DCI Rxed	81	7	0	1	2	0	11	2
0.817071	DL DCI Rxed	81	7	0	3	1	0	11	2
0.817071	DL DCI Rxed	81	7	0	3	2	0	11	2
0.817929	HARQ FD Txed	81	7	0	3	2	0	13	2
0.817929	HARQ FD Txed	81	7	0	1	2	0	13	2
0.817929	HARQ FD Txed	81	7	0	1	1	0	13	2
0.817929	HARQ FD Txed	81	7	0	3	1	0	13	2
0.818071	DL DCI Rxed	81	8	0	1	1	0	15	2
0.818071	DL DCI Rxed	81	8	0	1	2	0	15	2
0.818071	DL DCI Rxed	81	8	0	3	1	0	15	2
0.818071	DL DCI Rxed	81	8	0	3	2	0	15	2
0.818929	HARQ FD Txed	81	8	0	3	2	0	12	2
0.818929	HARQ FD Txed	81	8	0	1	2	0	12	2
0.818929	HARQ FD Txed	81	8	0	1	1	0	12	2
0.818929	HARQ FD Txed	81	8	0	3	1	0	12	2
0.819071	DL DCI Rxed	81	9	0	1	1	0	14	2
0.819071	DL DCI Rxed	81	9	0	1	2	0	14	2
0.819071	DL DCI Rxed	81	9	0	3	1	0	14	2
0.819071	DL DCI Rxed	81	9	0	3	2	0	14	2
0.819929	HARQ FD Txed	81	9	0	3	2	0	11	2
0.819929	HARQ FD Txed	81	9	0	1	2	0	11	2
0.819929	HARQ FD Txed	81	9	0	1	1	0	11	2
0.819929	HARQ FD Txed	81	9	0	3	1	0	11	2
0.820071	DL DCI Rxed	82	0	0	1	1	0	13	2
0.820071	DL DCI Rxed	82	0	0	1	2	0	13	2
0.820071	DL DCI Rxed	82	0	0	3	1	0	13	2
0.820071	DL DCI Rxed	82	0	0	3	2	0	13	2
0.820929	HARQ FD Txed	82	0	0	3	2	0	15	2
0.820929	HARQ FD Txed	82	0	0	1	2	0	15	2
0.820929	HARQ FD Txed	82	0	0	1	1	0	15	2
0.820929	HARQ FD Txed	82	0	0	3	1	0	15	2
0.821071	DL DCI Rxed	82	1	0	1	1	0	12	2
0.821071	DL DCI Rxed	82	1	0	1	2	0	12	2
0.821071	DL DCI Rxed	82	1	0	3	1	0	12	2
0.821071	DL DCI Rxed	82	1	0	3	2	0	12	2
0.821929	HARQ FD Txed	82	1	0	3	2	0	14	2
0.821929	HARQ FD Txed	82	1	0	1	2	0	14	2
0.821929	HARQ FD Txed	82	1	0	1	1	0	14	2
0.821929	HARQ FD Txed	82	1	0	3	1	0	14	2
0.822071	DL DCI Rxed	82	2	0	1	1	0	11	2
0.822071	DL DCI Rxed	82	2	0	1	2	0	11	2
0.822071	DL DCI Rxed	82	2	0	3	1	0	11	2
0.822071	DL DCI Rxed	82	2	0	3	2	0	11	2
0.822929	HARQ FD Txed	82	2	0	3	2	0	13	2
0.822929	HARQ FD Txed	82	2	0	1	2	0	13	2
0.822929	HARQ FD Txed	82	2	0	1	1	0	13	2
0.822929	HARQ FD Txed	82	2	0	3	1	0	13	2
0.823071	DL DCI Rxed	82	3	0	1	1	0	15	2
0.823071	DL DCI Rxed	82	3	0	1	2	0	15	2
0.823071	DL DCI Rxed	82	3	0	3	1	0	15	2
0.823071	DL DCI Rxed	82	3	0	3	2	0	15	2
0.823929	HARQ FD Txed	82	3	0	3	2	0	12	2
0.823929	HARQ FD Txed	82	3	0	1	2	0	12	2
0.823929	HARQ FD Txed	82	3	0	1	1	0	12	2
0.823929	HARQ FD Txed	82	3	0	3	1	0	12	2
0.824071	DL DCI Rxed	82	4	0	1	1	0	14	2
0.824071	DL DCI Rxed	82	4	0	1	2	0	14	2
0.824071	DL DCI Rxed	82	4	0	3	1	0	14	2
0.824071	DL DCI Rxed	82	4	0	3	2	0	14	2
0.824929	HARQ FD Txed	82	4	0	3	2	0	11	2
0.824929	HARQ FD Txed	82	4	0	1	2	0	11	2
0.824929	HARQ FD Txed	82	4	0	1	1	0	11	2
0.824929	HARQ FD Txed	82	4	0	3	1	0	11	2
0.825071	DL DCI Rxed	82	5	0	1	1	0	13	2
0.825071	DL DCI Rxed	82	5	0	1	2	0	13	2
0.825071	DL DCI Rxed	82	5	0	3	1	0	13	2
0.825071	DL DCI Rxed	82	5	0	3	2	0	13	2
0.825929	HARQ FD Txed	82	5	0	3	2	0	15	2
0.825929	HARQ FD Txed	82	5	0	1	2	0	15	2
0.825929	HARQ FD Txed	82	5	0	1	1	0	15	2
0.825929	HARQ FD Txed	82	5	0	3	1	0	15	2
0.826071	DL DCI Rxed	82	6	0	1	1	0	12	2
0.826071	DL DCI Rxed	82	6	0	1	2	0	12	2
0.826071	DL DCI Rxed	82	6	0	3	1	0	12	2
0.826071	DL DCI Rxed	82	6	0	3	2	0	12	2
0.826929	HARQ FD Txed	82	6	0	1	2	0	14	2
0.826929	HARQ FD Txed	82	6	0	3	2	0	14	2
0.826929	HARQ FD Txed	82	6	0	3	1	0	14	2
0.826929	HARQ FD Txed	82	6	0	1	1	0	14	2
0.827071	DL DCI Rxed	82	7	0	1	1	0	11	2
0.827071	DL DCI Rxed	82	7	0	1	2	0	11	2
0.827071	DL DCI Rxed	82	7	0	3	1	0	11	2
0.827071	DL DCI Rxed	82	7	0	3	2	0	11	2
0.827929	HARQ FD Txed	82	7	0	1	2	0	13	2
0.827929	HARQ FD Txed	82	7	0	3	2	0	13	2
0.827929	HARQ FD Txed	82	7	0	3	1	0	13	2
0.827929	HARQ FD Txed	82	7	0	1	1	0	13	2
0.828071	DL DCI Rxed	82	8	0	1	1	0	15	2
0.828071	DL DCI Rxed	82	8	0	1	2	0	15	2
0.828071	DL DCI Rxed	82	8	0	3	1	0	15	2
0.828071	DL DCI Rxed	82	8	0	3	2	0	15	2
0.828929	HARQ FD Txed	82	8	0	1	2	0	12	2
0.828929	HARQ FD Txed	82	8	0	3	2	0	12	2
0.828929	HARQ FD Txed	82	8	0	3	1	0	12	2
0.828929	HARQ FD Txed	82	8	0	1	1	0	12	2
0.829071	DL DCI Rxed	82	9	0	1	1	0	14	2
0.829071	DL DCI Rxed	82	9	0	1	2	0	14	2
0.829071	DL DCI Rxed	82	9	0	3	1	0	14	2
0.829071	DL DCI Rxed	82	9	0	3	2	0	14	2
0.829929	HARQ FD Txed	82	9	0	1	2	0	11	2
0.829929	HARQ FD Txed	82	9	0	3	2	0	11	2
0.829929	HARQ FD Txed	82	9	0	3	1	0	11	2
0.829929	HARQ FD Txed	82	9	0	1	1	0	11	2
0.830071	DL DCI Rxed	83	0	0	1	1	0	13	2
0.830071	DL DCI Rxed	83	0	0	1	2	0	13	2
0.830071	DL DCI Rxed	83	0	0	3	1	0	13	2
0.830071	DL DCI Rxed	83	0	0	3	2	0	13	2
0.830929	HARQ FD Txed	83	0	0	1	2	0	15	2
0.830929	HARQ FD Txed	83	0	0	3	2	0	15	2
0.830929	HARQ FD Txed	83	0	0	3	1	0	15	2
0.830929	HARQ FD Txed	83	0	0	1	1	0	15	2
0.831071	DL DCI Rxed	83	1	0	1	1	0	12	2
0.831071	DL DCI Rxed	83	1	0	1	2	0	12	2
0.831071	DL DCI Rxed	83	1	0	3	1	0	12	2
0.831071	DL DCI Rxed	83	1	0	3	2	0	12	2
0.831929	HARQ FD Txed	83	1	0	1	2	0	14	2
0.831929	HARQ FD Txed	83	1	0	3	2	0	14	2
0.831929	HARQ FD Txed	83	1	0	3	1	0	14	2
0.831929	HARQ FD Txed	83	1	0	1	1	0	14	2
0.832071	DL DCI Rxed	83	2	0	1	1	0	11	2
0.832071	DL DCI Rxed	83	2	0	1	2	0	11	2
0.832071	DL DCI Rxed	83	2	0	3	1	0	11	2
0.832071	DL DCI Rxed	83	2	0	3	2	0	11	2
0.832929	HARQ FD Txed	83	2	0	1	2	0	13	2
0.832929	HARQ FD Txed	83	2	0	3	2	0	13	2
0.832929	HARQ FD Txed	83	2	0	3	1	0	13	2
0.832929	HARQ FD Txed	83	2	0	1	1	0	13	2
0.833071	DL DCI Rxed	83	3	0	1	1	0	15	2
0.833071	DL DCI Rxed	83	3	0	1	2	0	15	2
0.833071	DL DCI Rxed	83	3	0	3	1	0	15	2
0.833071	DL DCI Rxed	83	3	0	3	2	0	15	2
0.833929	HARQ FD Txed	83	3	0	1	2	0	12	2
0.833929	HARQ FD Txed	83	3	0	3	2	0	12	2
0.833929	HARQ FD Txed	83	3	0	3	1	0	12	2
0.833929	HARQ FD Txed	83	3	0	1	1	0	12	2
0.834071	DL DCI Rxed	83	4	0	1	1	0	14	2
0.834071	DL DCI Rxed	83	4	0	1	2	0	14	2
0.834071	DL DCI Rxed	83	4	0	3	1	0	14	2
0.834071	DL DCI Rxed	83	4	0	3	2	0	14	2
0.834929	HARQ FD Txed	83	4	0	1	2	0	11	2
0.834929	HARQ FD Txed	83	4	0	3	2	0	11	2
0.834929	HARQ FD Txed	83	4	0	3	1	0	11	2
0.834929	HARQ FD Txed	83	4	0	1	1	0	11	2
0.835071	DL DCI Rxed	83	5	0	1	1	0	13	2
0.835071	DL DCI Rxed	83	5	0	1	2	0	13	2
0.835071	DL DCI Rxed	83	5	0	3	1	0	13	2
0.835071	DL DCI Rxed	83	5	0	3	2	0	13	2
0.835929	HARQ FD Txed	83	5	0	1	2	0	15	2
0.835929	HARQ FD Txed	83	5	0	3	2	0	15	2
0.835929	HARQ FD Txed	83	5	0	3	1	0	15	2
0.835929	HARQ FD Txed	83	5	0	1	1	0	15	2
0.836071	DL DCI Rxed	83	6	0	1	1	0	12	2
0.836071	DL DCI Rxed	83	6	0	1	2	0	12	2
0.836071	DL DCI Rxed	83	6	0	3	1	0	12	2
0.836071	DL DCI Rxed	83	6	0	3	2	0	12	2
0.836929	HARQ FD Txed	83	6	0	1	2	0	14	2
0.836929	HARQ FD Txed	83	6	0	3	2	0	14	2
0.836929	HARQ FD Txed	83	6	0	3	1	0	14	2
0.836929	HARQ FD Txed	83	6	0	1	1	0	14	2
0.837071	DL DCI Rxed	83	7	0	1	1	0	11	2
0.837071	DL DCI Rxed	83	7	0	1	2	0	11	2
0.837071	DL DCI Rxed	83	7	0	3	1	0	11	2
0.837071	DL DCI Rxed	83	7	0	3	2	0	11	2
0.837929	HARQ FD Txed	83	7	0	1	2	0	13	2
0.837929	HARQ FD Txed	83	7	0	3	2	0	13	2
0.837929	HARQ FD Txed	83	7	0	3	1	0	13	2
0.837929	HARQ FD Txed	83	7	0	1	1	0	13	2
0.838071	DL DCI Rxed	83	8	0	1	1	0	15	2
0.838071	DL DCI Rxed	83	8	0	1	2	0	15	2
0.838071	DL DCI Rxed	83	8	0	3	1	0	15	2
0.838071	DL DCI Rxed	83	8	0	3	2	0	15	2
0.838929	HARQ FD Txed	83	8	0	1	2	0	12	2
0.838929	HARQ FD Txed	83	8	0	3	2	0	12	2
0.838929	HARQ FD Txed	83	8	0	3	1	0	12	2
0.838929	HARQ FD Txed	83	8	0	1	1	0	12	2
0.839071	DL DCI Rxed	83	9	0	1	1	0	14	2
0.839071	DL DCI Rxed	83	9	0	1	2	0	14	2
0.839071	DL DCI Rxed	83	9	0	3	1	0	14	2
0.839071	DL DCI Rxed	83	9	0	3	2	0	14	2
0.839929	HARQ FD Txed	83	9	0	1	2	0	11	2
0.839929	HARQ FD Txed	83	9	0	3	2	0	11	2
0.839929	HARQ FD Txed	83	9	0	3	1	0	11	2
0.839929	HARQ FD Txed	83	9	0	1	1	0	11	2
0.840071	DL DCI Rxed	84	0	0	1	1	0	13	2
0.840071	DL DCI Rxed	84	0	0	1	2	0	13	2
0.840071	DL DCI Rxed	84	0	0	3	1	0	13	2
0.840071	DL DCI Rxed	84	0	0	3	2	0	13	2
0.840929	HARQ FD Txed	84	0	0	1	2	0	15	2
0.840929	HARQ FD Txed	84	0	0	3	2	0	15	2
0.840929	HARQ FD Txed	84	0	0	3	1	0	15	2
