Time	CellId	RNTI	BWPId	SINR(dB)
1.33293	1	1	0	28.7693
1.33293	3	1	0	23.8673
1.33371	1	2	0	29.9253
1.33371	3	2	0	21.0465
1.33393	1	1	0	26.5229
1.33393	3	1	0	21.2754
1.33471	1	2	0	30.175
1.33471	3	2	0	22.7595
1.33493	1	1	0	26.9702
1.33493	3	1	0	20.1102
1.33571	1	2	0	27.4585
1.33571	3	2	0	21.415
1.33593	1	1	0	26.1283
1.33593	3	1	0	24.2129
1.33671	1	2	0	28.6654
1.33671	3	2	0	24.4217
1.33693	1	1	0	26.6033
1.33693	3	1	0	16.2176
1.33729	3	1	0	17.2384
1.33771	1	2	0	31.1775
1.33793	3	2	0	24.0614
1.33793	1	1	0	32.8148
1.3385	3	2	0	23.7752
1.33871	1	2	0	25.9961
1.33893	3	1	0	22.6311
1.33893	1	1	0	34.9443
1.33971	1	2	0	28.0145
1.33971	3	2	0	23.1318
1.33993	1	1	0	28.0083
1.33993	3	1	0	21.9154
1.34029	3	1	0	28.7965
1.34071	1	2	0	30.1352
1.34093	3	2	0	23.3207
1.34093	1	1	0	34.176
1.34129	1	1	0	29.6854
1.34171	3	2	0	23.3798
1.34186	3	1	0	19.0388
1.34193	1	2	0	40.1158
1.34229	3	1	0	28.9078
1.3425	1	2	0	29.8692
1.34293	3	2	0	21.7824
1.34293	1	1	0	24.0599
1.3435	3	2	0	24.7887
1.34371	1	2	0	34.065
1.34393	3	1	0	23.3369
1.34393	1	1	0	20.7171
1.3445	3	2	0	24.3247
1.34471	1	2	0	23.4054
1.34493	3	1	0	21.5476
1.34493	1	1	0	19.7478
1.34571	1	2	0	21.8225
1.34571	3	2	0	22.1633
1.34593	1	1	0	19.1365
1.34593	3	1	0	26.0092
1.34621	3	1	0	18.5743
1.34671	1	2	0	27.5222
1.34693	3	2	0	21.0835
1.34693	1	1	0	23.6531
1.3475	3	2	0	21.969
1.34771	1	2	0	32.3608
1.34793	3	1	0	21.0339
1.34793	1	1	0	19.8355
1.34829	1	1	0	19.8113
1.34871	3	2	0	23.2854
1.34893	1	2	0	26.9094
1.34893	3	1	0	17.6753
1.34929	1	1	0	19.4546
1.3495	3	1	0	21.248
1.34993	1	2	0	30.4338
1.34993	3	2	0	24.5864
1.35071	1	2	0	25.2798
1.35071	3	2	0	24.4957
1.35093	1	1	0	18.5835
1.35093	3	1	0	16.7607
1.35129	1	1	0	19.5542
1.3515	3	2	0	22.7371
1.35186	3	1	0	27.746
1.35193	1	2	0	41.782
1.35229	1	1	0	19.5711
1.3525	3	2	0	23.0913
1.35271	3	1	0	18.0021
1.35293	1	2	0	48.4335
1.35329	3	1	0	31.797
1.3535	1	2	0	25.5279
1.35393	3	2	0	23.9275
1.35393	1	1	0	19.6218
1.35443	1	2	0	24.2098
1.3545	3	2	0	22.8372
1.35486	1	1	0	17.4421
1.35493	3	1	0	54.5597
1.35529	3	1	0	26.4189
1.3555	1	2	0	32.8378
1.35593	3	2	0	22.5604
